staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date
Denise Huff,5,PRN20170001,0529R3,Administrative Revision ,IACX Roswell LLC,Roundtop Compressor Station,9/5/2017 15:41,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:58,,,
Kerry Carr,5,PRN20120001,0529R2,No Permit Required,IACX Roswell LLC,Roundtop Compressor Station,8/17/2012 10:04,,,,,10/24/2012 15:14,,,
William Green,6,PRN20120001,3375M1,Regular-Significant Revision ,"El Paso Natural Gas Company, LLC",Roswell Compressor Station,7/30/2012 14:07,,8/29/2012 10:35,11/27/2012 0:00,11/27/2012 0:00,11/20/2012 14:01,,,
Marilynn Miller,8,PRN20040001,0570M4R1,Administrative Revision ,IACX Roswell LLC,Agave Energy - Comanche Compressor Station,2/9/2004 16:17,,,2/23/2004 0:00,2/23/2004 0:00,6/4/2004 12:02,,,12/4/2019 13:33
Denise Huff,8,PRN20170001,0570M7R1,Administrative Revision ,IACX Roswell LLC,IACX Roswell LLC - Comanche Compressor Station GCP4-0570,9/5/2017 15:54,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:40,,,12/4/2019 13:37
Leslee Kimbrell,8,PRN20190001,0570M8,GCP - Oil and Gas,IACX Roswell LLC,IACX - Comanche Compressor Station,11/4/2019 9:02,,,12/4/2019 0:00,12/4/2019 0:00,12/4/2019 13:30,,,
Paul Leonis,8,PRN20040002,0570M5,GCP4 - New,IACX Roswell LLC,Agave Energy - Comanche Compressor Station,8/27/2004 12:49,,,9/24/2004 0:00,9/24/2004 0:00,9/21/2004 11:44,,,12/4/2019 13:34
Paul Leonis,8,PRN20050001,0570M6,GCP4 - Significant Revision,IACX Roswell LLC,Agave Energy - Comanche Compressor Station,7/29/2005 14:05,,,8/28/2005 0:00,8/28/2005 0:00,8/26/2005 16:48,,,12/4/2019 13:34
Marvin Mascarenas,8,PRN20150002,0570M7,GCP4 Form A ,IACX Roswell LLC,Agave Energy - Comanche Compressor Station,7/5/2016 15:34,,,8/4/2016 0:00,8/4/2016 0:00,8/4/2016 10:40,,,12/4/2019 13:35
Marvin Mascarenas,8,PRN20160002,0570M7,GCP4 Form C,IACX Roswell LLC,Agave Energy - Comanche Compressor Station GCP4-0570,7/29/2016 14:55,,,8/28/2016 0:00,8/28/2016 0:00,8/26/2016 10:26,,,12/4/2019 13:36
Marvin Mascarenas,8,PRN20160001,0570M7,GCP4 Operation Start Up,IACX Roswell LLC,Agave Energy - Comanche Compressor Station,7/14/2016 10:56,,,8/13/2016 0:00,8/13/2016 0:00,8/13/2016 8:55,,,12/4/2019 13:35
Joseph Kimbrell,10,PRN20150001,6742,Regular-New ,"Transwestern Pipeline Company, LLC",Roswell Compressor Station No9,12/29/2015 8:26,1/22/2016 15:38,3/14/2016 16:05,6/12/2016 0:00,6/12/2016 0:00,5/27/2016 16:03,,,
Trais Kliphuis,12,PRN19980003,140M1R2,Administrative Revision ,Frontier Field Services LLC C/O Durango Midstream LLC,Chaves Compressor Station,1/3/2003 0:00,,,2/14/2003 0:00,2/14/2003 0:00,1/10/2003 0:00,,,3/18/2020 9:20
Kerry Carr,12,PRN20030001,140M1R3,Administrative Revision ,Frontier Field Services LLC C/O Durango Midstream LLC,Chaves Compressor Station,5/21/2003 9:49,,,7/11/2003 0:00,7/11/2003 0:00,6/13/2003 13:25,,,3/18/2020 9:16
Denise Huff,12,PRN20190001,140M1R4,Administrative Revision ,Frontier Field Services LLC C/O Durango Midstream LLC,Durango Midstream - Chaves Compressor Station,3/12/2019 12:07,,,4/11/2019 0:00,4/11/2019 0:00,4/9/2019 12:30,,,3/18/2020 9:14
Arianna Espinoza,12,PRN20200001,0140M1R5,Administrative Revision ,Frontier Field Services LLC C/O Durango Midstream LLC,Durango Midstream - Chaves Compressor Station,3/4/2020 12:23,,,4/3/2020 0:00,4/3/2020 0:00,,,,3/18/2020 9:14
Joseph Kimbrell,12,PRN19980002,0140M1R1,Regular-Significant Revision ,Frontier Field Services LLC C/O Durango Midstream LLC,Chaves Compressor Station,3/1/1998 12:02,,,3/1/1998 0:00,3/1/1998 0:00,6/22/1998 12:02,,,3/18/2020 9:21
Sandra Duque,14,PRN20100002,0274M6R1,Administrative Revision ,IACX Roswell LLC,Bitter Lake Compressor Station,12/6/2010 11:15,,,1/5/2011 0:00,1/5/2011 0:00,12/13/2010 11:00,,,
Hernesto Tellez,14,PRN20140001,0274M6R2,Administrative Revision ,IACX Roswell LLC,Bitter Lake Compressor Station,12/4/2014 13:19,,,1/3/2015 0:00,1/3/2015 0:00,12/30/2014 14:10,,,
Teri Waldron,14,PRN20170002,0274M6R4,Administrative Revision ,IACX Roswell LLC,IACX - Bitter Lake Compressor Station,9/22/2017 9:15,,,10/22/2017 0:00,10/22/2017 0:00,9/27/2017 15:20,,,
Denise Huff,14,PRN20170001,0274M6R3,Administrative Revision ,IACX Roswell LLC,Bitter Lake Compressor Station,9/5/2017 16:29,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:59,,,
Todd Sherrill,14,PRN20200001,0274M7,GCP - Oil and Gas,IACX Roswell LLC,IACX - Bitter Lake Compressor Station,2/10/2020 12:54,,,3/11/2020 0:00,3/11/2020 0:00,3/5/2020 15:34,,,
Imam Imanuddin,14,PRN20100001,0274M6,Regular-Significant Revision ,IACX Roswell LLC,Bitter Lake Compressor Station,6/14/2010 15:54,7/13/2010 12:03,8/18/2010 12:03,11/16/2010 0:00,11/16/2010 0:00,11/3/2010 17:18,,,
Denise Huff,15,PRN20170001,0309M2R2,Administrative Revision ,IACX Roswell LLC,Red Bluff No1 Compressor Station,9/5/2017 16:10,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:05,,,
Denise Huff,18,PRN20170001,0411M1R3,Administrative Revision ,IACX Roswell LLC,Red Bluff No2 Compressor Station,9/5/2017 16:04,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:04,,,
Mary Gerhart,19,PRN20150003,0412M3R4,Administrative Revision ,IACX Roswell LLC,Red Bluff No3 Compressor Station,9/24/2015 16:09,,,10/24/2015 0:00,10/24/2015 0:00,10/24/2015 11:03,,,
Teri Waldron,19,PRN20170002,0412M3R6,Administrative Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,9/22/2017 9:17,,,10/22/2017 0:00,10/22/2017 0:00,9/27/2017 16:12,,,
Denise Huff,19,PRN20170001,0412M3R5,Administrative Revision ,IACX Roswell LLC,Red Bluff No3 Compressor Station,9/5/2017 16:15,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 14:33,,,
Arianna Espinoza,19,PRN20190001,0412M3R8,Administrative Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,1/22/2019 11:14,,,2/21/2019 0:00,2/21/2019 0:00,2/1/2019 9:31,,,
Julie Kuhn,19,PRN20190002,0412M3R9,Administrative Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,3/11/2019 10:55,,,4/10/2019 0:00,4/10/2019 0:00,3/25/2019 16:18,,,
Leslee Kimbrell,19,PRN20190004,0412M3R11,Administrative Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,12/11/2019 10:19,,,1/10/2020 0:00,1/10/2020 0:00,12/17/2019 14:02,,,
Julie Kuhn,19,PRN20200001,0412M4,Regular-Significant Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,2/28/2020 12:20,,3/26/2020 11:08,6/24/2020 0:00,6/24/2020 0:00,6/24/2020 11:02,,,
Elizabeth Kuehn,19,PRN20120001,0412M3R3,Technical Revision ,IACX Roswell LLC,Red Bluff No3 Compressor Station,11/15/2012 8:19,,,12/15/2012 0:00,12/15/2012 0:00,12/12/2012 11:51,,,
Jim Nellessen,19,PRN20170003,0412M3R7,Technical Revision ,IACX Roswell LLC,Red Bluff No3 Compressor Station,10/31/2017 10:38,,,11/30/2017 0:00,11/30/2017 0:00,11/28/2017 14:33,,,
Jim Nellessen,19,PRN20190003,0412M3R10,Technical Revision ,IACX Roswell LLC,IACX - Red Bluff No3 Compressor Station,7/12/2019 10:10,,,8/11/2019 0:00,8/11/2019 0:00,8/7/2019 14:07,,,
Teri Waldron,22,PRN20150002,0415M2R1,Administrative Revision ,IACX Roswell LLC,Red Bluff No6 Compressor Station,10/19/2015 8:52,,,11/18/2015 0:00,11/18/2015 0:00,10/23/2015 13:38,,,
Denise Huff,22,PRN20170001,0415M2R2,Administrative Revision ,IACX Roswell LLC,Red Bluff No6 Compressor Station,9/5/2017 16:01,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:06,,,
Imam Imanuddin,22,PRN20110002,0415M2,Notice of Intent ,IACX Roswell LLC,Red Bluff No6 Compressor Station,8/8/2011 8:47,,,9/7/2011 0:00,9/7/2011 0:00,8/12/2011 12:55,,,
Marilynn Miller,30,PRN20040001,1493M1R1,Administrative Revision ,Holly Energy Partners - Operating LP,Navajo Refining - Booster Station No1,8/2/2004 14:32,,,,,8/23/2004 12:20,,,3/15/2011 14:42
Kerry Carr,30,PRN20110001,1493M1R2,Administrative Revision ,Holly Energy Partners - Operating LP,Holly Energy Partners - Booster Station No1,2/24/2011 17:44,,,3/26/2011 0:00,3/26/2011 0:00,,,,3/15/2011 15:36
Denise Huff,33,PRN20170001,0848AR1,Administrative Revision ,IACX Roswell LLC,Pathfinder Amine,9/5/2017 15:46,,,10/5/2017 0:00,10/5/2017 0:00,10/4/2017 15:54,,,
Marilynn Miller,34,PRN20030001,0857M2R1,Administrative Revision ,DCP Operating Company LP,Duke Energy - Buffalo Valley Compressor Station,8/25/2003 15:19,,,,,9/18/2003 15:20,,,5/14/2018 9:25
Teri Waldron,34,PRN20050001,0857M2R2,Administrative Revision ,DCP Operating Company LP,Buffalo Valley Booster Station,8/19/2005 9:41,,,,,8/26/2005 9:55,,,5/14/2018 9:26
Joseph Kimbrell,34,PRN20060001,0857M2R3,Administrative Revision ,DCP Operating Company LP,Buffalo Valley Booster Station,2/14/2006 8:38,,,,,2/15/2006 7:19,,,5/14/2018 9:25
Tasha Burns,34,PRN20180001,0857M4R1,Administrative Revision ,DCP Operating Company LP,Buffalo Valley Booster Station,4/30/2018 11:11,,,5/30/2018 0:00,5/30/2018 0:00,,,,5/14/2018 9:37
Norma Perez,34,PRN20100001,0857M3,Regular-Significant Revision ,DCP Operating Company LP,Buffalo Valley Booster Station,8/23/2010 9:39,,9/22/2010 14:18,12/21/2010 0:00,12/21/2010 0:00,12/13/2010 16:22,,,5/14/2018 7:55
Norma Perez,34,PRN20110002,857M4,Regular-Significant Revision ,DCP Operating Company LP,Buffalo Valley Booster Station,6/8/2011 15:58,,7/5/2011 16:31,10/3/2011 0:00,10/3/2011 0:00,8/19/2011 10:49,,,5/14/2018 7:55
Marilynn Miller,35,PRN20030001,0889M2R2,Administrative Revision ,Mid-America Pipeline Company LLC,White Lakes Pump Station,2/18/2003 11:48,,,8/1/2003 0:00,8/1/2003 0:00,2/19/2003 11:48,,,3/21/2013 11:19
Teri Waldron,35,PRN20120001,0899M3R1,Administrative Revision ,Mid-America Pipeline Company LLC,White Lakes Pump Station,1/27/2012 10:41,,,2/26/2012 0:00,2/26/2012 0:00,2/9/2012 10:41,,,3/21/2013 14:07
Rhonda Romero,35,PRN20130001,0889M4,GCP1-New ,Mid-America Pipeline Company LLC,White Lakes Pump Station,2/19/2013 9:09,,,3/21/2013 0:00,3/21/2013 0:00,3/21/2013 12:10,,,
Kerwin Singleton,35,PRN20060001,0889M3,Regular-Significant Revision ,Mid-America Pipeline Company LLC,White Lakes Pump Station,3/30/2006 16:14,,4/27/2006 9:53,7/26/2006 0:00,7/26/2006 0:00,7/25/2006 13:09,,,3/21/2013 14:08
Teri Waldron,36,PRN20130001,0921M4R1,Administrative Revision ,Mid-America Pipeline Company LLC,Mesa Pump Station,2/25/2013 15:08,,,3/27/2013 0:00,3/27/2013 0:00,2/26/2013 17:49,,,
Teri Waldron,36,PRN20160001,0921M4R2,Administrative Revision ,Mid-America Pipeline Company LLC,Mesa Pump Station,4/29/2016 13:23,,,5/29/2016 0:00,5/29/2016 0:00,5/4/2016 16:38,,,
Denise Huff,37,PRN20190001,0935M2R2,Administrative Revision ,Leprino Foods Company,Leprino Foods Company,2/13/2019 10:17,,,3/15/2019 0:00,3/15/2019 0:00,4/9/2019 13:49,,,
Teri Waldron,40,PRN20130003,0997M1R1,Administrative Revision ,"United Materials, LLP",Roswell Ready Mix - Aggregate Facility No1,12/6/2013 11:33,,,1/5/2014 0:00,1/5/2014 0:00,12/16/2013 11:33,,,
Teri Waldron,40,PRN20150001,0997M1R2,Administrative Revision ,"United Materials, LLP", Aggregate Facility No1 GCP2-0997,4/30/2015 12:48,,,5/30/2015 0:00,5/30/2015 0:00,5/8/2015 15:39,,,
Teri Waldron,40,PRN20120001,0997M1,Relocation,"United Materials, LLP",Roswell Ready Mix Crusher 1 GCP2-0997,3/20/2012 11:49,,,4/4/2012 0:00,4/4/2012 0:00,3/26/2012 9:45,,,
Leslee Kimbrell,40,PRN20120003,0997M1,Relocation,"United Materials, LLP",Roswell Ready Mix - Crusher 1 GCP2-0997,8/9/2012 9:03,,,8/24/2012 0:00,8/24/2012 0:00,8/17/2012 11:55,,,
Richard Poley,40,PRN20130002,0997M1,Relocation,"United Materials, LLP",Roswell Ready Mix - Crusher 1 GCP2-0997,8/8/2013 16:43,,,8/23/2013 0:00,8/23/2013 0:00,8/21/2013 15:18,,,
Adam Ullom,40,PRN20140001,0997M1R1,Relocation,"United Materials, LLP",Roswell Ready Mix - Aggregate Facility No1,1/13/2014 10:48,,,1/28/2014 0:00,1/28/2014 0:00,1/23/2014 13:07,,,
Teri Waldron,40,PRN20150002,0997M1R2,Relocation,"United Materials, LLP", Aggregate Facility No1 GCP2-0997,8/19/2015 12:16,,,9/3/2015 0:00,9/3/2015 0:00,8/21/2015 10:25,,,
Kirby Olson,40,PRN20150003,0997M1R2,Relocation,"United Materials, LLP", Aggregate Facility No1 GCP2-0997,10/7/2015 7:38,,,10/22/2015 0:00,10/22/2015 0:00,10/21/2015 11:26,,,
Teri Waldron,40,PRN20160001,0997M1R2,Relocation,"United Materials, LLP", Aggregate Facility No1 GCP2-0997,3/25/2016 9:48,,,4/9/2016 0:00,4/9/2016 0:00,,,3/28/2016 16:28,
Teri Waldron,40,PRN20120002,0997M1,Substitutions/Additions,"United Materials, LLP",Roswell Ready Mix Crusher 1 GCP2-0997,6/12/2012 9:26,,,7/12/2012 0:00,7/12/2012 0:00,6/13/2012 9:26,,,
