,staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date,spud_date,status,well_api,well_name,ogrid_name,well_latitude,well_longitude,facility_name,Facility Type,cluster,facility_latitude,facility_longitude,Nox TPY,CO TPY,VOC TPY,PM10 TPY,SO2 TPY,potential_violation,binary_violation
7,Melinda Owens,1183,PRN20120002,0773M5,PSD-Minor Modification ,"Enterprise Field Services, LLC",Pump Canyon Compressor Station,2012-07-19 08:42:00,,8/9/2012 11:12,11/7/2012 0:00,11/7/2012 0:00,2012-11-06 10:01:00,,,,2010-07-15 00:00:00,Active,30-045-35001,RIDDLE A #003C,HILCORP ENERGY COMPANY,36.7955666,-107.73703770000002,Enterprise - Pump Canyon Compressor Station,O&G-Compressor Station,70.0,36.794722,-107.733333,230.3,386.9,76.4,4.9,9.0,Yes,1
11,Norma Perez,1305,PRN20100001,1582M2,Streamline Level 1-New ,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,2010-03-15 16:48:00,,3/22/2010 10:04,4/21/2010 0:00,4/21/2010 0:00,2010-04-08 16:04:00,,,,2012-08-31 00:00:00,Active,30-045-35382,KESSLER COM #003P,HILCORP ENERGY COMPANY,36.779197700000005,-107.9380798,Hilcorp - Compressor Station No355,O&G-Compressor Station,107.0,36.778047,-107.93914,31.8,31.2,39.2,0.6,,No,0
12,Mary Gerhart,1305,PRN20120001,1582M3,Streamline Level 1-Revision,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,2012-01-18 09:02:00,,2/16/2012 17:50,3/17/2012 0:00,3/17/2012 0:00,2012-03-17 12:44:00,,,,2012-08-31 00:00:00,Active,30-045-35382,KESSLER COM #003P,HILCORP ENERGY COMPANY,36.779197700000005,-107.9380798,Hilcorp - Compressor Station No355,O&G-Compressor Station,107.0,36.778047,-107.93914,31.8,31.2,39.2,0.6,,No,0
14,Martyne Kieling,1319,PRN20100001,1680M1,GCP1-New ,"Enterprise Field Services, LLC",Hart Canyon No1 Compressor Station,2010-11-09 08:50:00,,,12/9/2010 0:00,12/9/2010 0:00,2010-12-08 12:30:00,,,,2012-05-01 00:00:00,Active,30-045-35137,ATLANTIC A #008C,HILCORP ENERGY COMPANY,36.873104100000006,-107.9030075,Hart Canyon No1 Compressor Station GCP1-1680,O&G-Compressor Station,222.0,36.872889,-107.900333,25.9,92.6,29.6,1.0,1.4,No,0
22,Coleman Smith,1374,PRN20100002,2031M3,Regular-Significant Revision ,Harvest Four Corners LLC,North Crandell Compressor Station,2010-09-17 13:42:00,,10/15/2010 11:03,1/13/2011 0:00,1/13/2011 0:00,2011-01-07 08:04:00,,,,2015-08-21 00:00:00,Active,30-045-35689,AZTEC COM 4 #002H,HILCORP ENERGY COMPANY,36.83795268,-107.95641792,Harvest - North Crandell Compressor Station,O&G-Compressor Station,65.0,36.841678,-107.957628,60.4,45.9,59.9,1.3,,No,0
23,Joseph Mashburn,1374,PRN20200001,2031M4,Regular-Significant Revision ,Harvest Four Corners LLC,Harvest - North Crandell Compressor Station,2020-08-31 13:54:00,,9/30/2020 13:45,12/29/2020 0:00,12/29/2020 0:00,2020-12-29 15:42:00,,,,2015-08-21 00:00:00,Active,30-045-35689,AZTEC COM 4 #002H,HILCORP ENERGY COMPANY,36.83795268,-107.95641792,Harvest - North Crandell Compressor Station,O&G-Compressor Station,65.0,36.841678,-107.957628,60.4,45.9,59.9,1.3,,Yes,1
25,Damon Reyes,22401,PRN20040001,3145,Notice of Intent ,Chevron USA - Four Corners Operations,Chevron USA - Nellie Platero 3,2004-10-12 16:28:00,,,11/11/2004 0:00,11/11/2004 0:00,2004-11-09 09:05:00,,,5/10/2011 14:44,2012-01-05 00:00:00,Active,30-045-35121,TURNER HUGHES #016N,HILCORP ENERGY COMPANY,36.5934181,-107.760025,Chevron USA - Nellie Platero 3,O&G-Compressor Station,21.0,36.589111,-107.759694,,,,,,No,0
29,Elizabeth Kuehn,27709,PRN20080001,3816,Streamline Level 1-New ,XTO Energy Inc,XTO Energy - PGA CDP & SWD,2008-08-21 17:38:00,9/20/2008 13:21,12/17/2008 10:00,1/16/2009 0:00,1/16/2009 0:00,2009-01-15 16:33:00,,,12/18/2020 14:09,2014-12-30 00:00:00,Active,30-045-35540,PGA UNIT #343,DUGAN PRODUCTION CORP,36.264801,-107.9969482,XTO - PGA CDP & SWD,O&G-Compressor Station,185.0,36.263611,-107.998333,,,,,,No,0
31,Mary Gerhart,29776,PRN20100001,4288,Notice of Intent ,Hilcorp Energy Company,XTO Energy Inc - Five of Diamonds Production Facility,2010-10-05 09:41:00,,,11/4/2010 0:00,11/4/2010 0:00,2010-11-04 17:20:00,,,,2010-09-14 00:00:00,Active,30-045-35167,FIVE OF DIAMONDS #090H,HILCORP ENERGY COMPANY,36.833252,-108.1977081,Hilcorp - Five of Diamonds Production Facility,O&G-Compressor Station,87.0,36.83325,-108.197028,16.2,2.0,,,,Yes,1
33,Norma Perez,31155,PRN20120001,4695,Notice of Intent ,Hilcorp Energy Company,Sandia Federal 1F,2012-02-09 14:00:00,,,3/10/2012 0:00,3/10/2012 0:00,2012-03-06 16:44:00,,,,2011-12-28 00:00:00,Active,30-045-35016,SANDIA FEDERAL #001F,HILCORP ENERGY COMPANY,36.784687,-108.01179499999999,Hilcorp - Sandia Federal 1F,O&G-Well Head,189.0,36.784444,-108.011111,,,,,,Yes,1
