,id,name,type_code,type,status_code,status,ogrid,ogrid_name,district_code,district,county_code,county,ulstr,latitude,longitude,projection,directional_status,details,files,status2,symbology,year_spudded,spud_date,measured_vertical_depth,true_vertical_depth,pool_id_list,effective_date,plug_date,GlobalID,geometry
1,30-045-23649,UTE MOUNTAIN UTE #001,O    ,Oil,A,Active,148219,KEYSTONE ENERGY LLC,3,Aztec,45,San Juan,F-10-31N-15W,36.9176331,-108.4069519,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-23649&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045236490000&GISReferenceSource=ArcGISOnline,A,OA,1979.0,1979-07-24 00:00:00+00:00,1985.0,1985.0,[62510] VERDE GALLUP,1995-08-01 00:00:00+00:00,,{219E63D8-7AF2-4C74-9BA5-6FE23D40940C},POINT (-108.4069519 36.91763310000005)
3,30-045-25440,HATCH #001,O    ,Oil,A,Active,371618,RELIABLE PRODUCTION LLC,3,Aztec,45,San Juan,C-11-29N-15W,36.7456398,-108.3894577,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25440&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045254400000&GISReferenceSource=ArcGISOnline,A,OA,1982.0,1982-10-13 00:00:00+00:00,5174.0,5174.0,[11880] CHA CHA GALLUP,2017-03-13 00:00:00+00:00,,{9182CBED-35A2-4A09-A7AF-7BC4EF293E48},POINT (-108.3894577 36.74563980000005)
11,30-045-25267,ANADOR FEDERAL 19 #001,O    ,Oil,A,Active,289408,"LOGOS OPERATING, LLC",3,Aztec,45,San Juan,K-19-30N-15W,36.7978325,-108.4605789,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25267&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045252670000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-12-04 00:00:00+00:00,4152.0,4152.0,[32870] HORSESHOE GALLUP,2016-07-28 00:00:00+00:00,,{78933F3B-62BC-4233-8834-370B66E8979B},POINT (-108.4605789 36.79783250000003)
156,30-045-35858,NAGEEZI UNIT #509H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,A-09-23N-09W,36.248044,-107.786627,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35858&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358580000&GISReferenceSource=ArcGISOnline,A,OA,2019.0,2019-10-14 00:00:00+00:00,10824.0,4803.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{CEED7CCB-8788-4C51-8555-DACC8AFC72DB},POINT (-107.786627 36.24804400000005)
160,30-045-35481,NAGEEZI UNIT #220H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,L-27-24N-09W,36.28434,-107.78441,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35481&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045354810000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-07-27 00:00:00+00:00,10090.0,5104.0,"[5890] BISTI LOWER-GALLUP (O); [97232] BASIN MANCOS; [98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{C22949E7-1D17-47A4-8F03-7E5C13065650},POINT (-107.78441 36.28434000000004)
188,30-045-35440,NAGEEZI UNIT #320H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,D-34-24N-09W,36.274794,-107.78363,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35440&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045354400000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-08-02 00:00:00+00:00,10284.0,0.0,"[5890] BISTI LOWER-GALLUP (O); [97232] BASIN MANCOS; [98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{EFF381FC-F06E-4AF9-8E3B-FC9E857F3DB6},POINT (-107.78363 36.27479400000004)
218,30-045-35362,BLANCO WASH UNIT #328H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,I-16-24N-09W,36.3129654,-107.7866516,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35362&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045353620000&GISReferenceSource=ArcGISOnline,A,OA,2013.0,2013-01-26 00:00:00+00:00,9828.0,5443.0,"[5890] BISTI LOWER-GALLUP (O); [98173] BLANCO WASH,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{164B7261-F31D-467C-8D22-1EDB5C316490},POINT (-107.7866516 36.31296540000005)
225,30-045-35478,NAGEEZI UNIT #219H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,L-27-24N-09W,36.28443,-107.78441,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35478&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045354780000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-08-08 00:00:00+00:00,10563.0,0.0,"[5890] BISTI LOWER-GALLUP (O); [97232] BASIN MANCOS; [98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{3E1295B2-0670-42BD-8D0B-EE20A835A945},POINT (-107.78441 36.28443000000004)
259,30-045-35820,NAGEEZI UNIT #221H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,L-27-24N-09W,36.284503,-107.784374,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35820&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358200000&GISReferenceSource=ArcGISOnline,A,OA,2017.0,2017-03-17 00:00:00+00:00,13020.0,5100.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{D60F927A-F379-4F9B-9035-5B6B0BDA2C5C},POINT (-107.784374 36.28450300000003)
391,30-045-35862,NAGEEZI UNIT #510H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,A-09-23N-09W,36.248044,-107.786725,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35862&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358620000&GISReferenceSource=ArcGISOnline,A,OA,2018.0,2018-06-23 00:00:00+00:00,12540.0,4800.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{B95C26C0-8E94-4816-B4E5-96BC7CFDEB28},POINT (-107.786725 36.24804400000005)
